Timestamp,Questions for the Oracle about 2025,A Favourable Outcome by 2025,An Unfavourable Outcome,How Will Culture and Institutions Need to Change,Lessons from the Past,Decisions to be Made and Actions Taken,If You Had a “Magic Wand”...,Which of the following do you see yourself as being,In which sectors do you work
02/09/2011 20:02:53,"How will we reconcile institutionally-owned and learner-owned (or teacher-owned) technologies?
Will we have ""authentic assessment""?
Will we still be giving lectures in universities?","Usage and activity data being used to understand the nature of learning.
Software that helps learners manage the development of their metacognitive skills","Large scale use of ""intelligent tutoring"" software.
Personalisation by automation
Still using VLEs mostly to store lecture notes and videos","Society and learners expect education to be like it always has been - it is conservative - and this constrains innovation.
Build a culture where risk-taking is more acceptable.
Reward structures and timetabling in universities do not favour innovation with learning technology","VLEs became a store for handouts and notes rather than a hub of constructivist learning.
It isn't just training that is needed to foster adoption of a new technology for teaching and learning.
In 1995, no-one saw ""Web 2.0"".","Make time and space for innovative practitioners and technologists.
Support entrepreneurs in bringing the good stuff to ""market"" - get enough scale and investment for sustainability.
Invest in appropriation of ubiquitous web technologies rather than the development of specialist ""learning technologies""",Create a set of interoperability standards that meet 80% of all needs and get them implemented so we can concentrate on the more educationally-interesting problems.,"Teacher, Technologist, Manager",Higher Education
08/09/2011 09:28:56,"Yes, main uncertainty, will we overcome the pernicious digital divide, as society is becoming more unequal
The Oracle should be asked. 
A mobiles still handheld or wearable
How joined up has data become?
How far did open go","Innovation, tech completely integrated in smart environment with data overlaid
Doing increase collaboration, wider working groups, more networked way of working, assessments based on collaborative Work","Commodification of information, firewalls, cost driven
too much observation CCTV, data used negatively, big number crunched, to enhance the now click here form of learning
technology used as a basis of contractual learning, everything fee driven
","More Open
Agile Curriculum Design and Institutions
Rethink assessment
People need to sound time think about educational outcomes


","Significant, tech isn't a silver bullet
Too much much shiny stuff, 
CBL was thought to change the world as it was infinitely scalable
Pace of change and dealing with staff was harder than thought","Priority next round of Quantitative Easing should follow Uruguayan model 
A technological Autumn
Sector Bodies training, LSIS courses, 
JISC training, cross institutional advances cross pollinated
ALT good start, a good online community
","Equality of Opportunity, LLL free at the point of use
a Technological Autumn","Teacher, Technologist",Higher Education
08/09/2011 09:29:45,Devices - how will that affect us? What will be the balance of face-to-face versus online communication and learning? Will the corporates take over? Who will have control?,Technology should be used to its full advantage so that face-to-face time is Used wisely.,If technology is being used to control. If education is too linked into commercial aims,Higher education has to put as much effort into improving teaching and learning as they do research.,Learning design proved difficult to develop and share with others,"Focus on digital literacy - too big a gap, this needs to be closed",More socialist!!! Even out the social inequalities.,"Teacher, Technologist, Manager, Researcher",Higher Education
08/09/2011 09:31:23,"Will one child per laptop be universal?
What will our learning spaces and libraries look like?
How big will informal education be?
Will it be simple to acquire accreditation for our informal learning?","Equality of access to connectivity for young children
That we have implemented on a large scale the things we know that work - that we have done them and seen them through - rather than having been occupied with small action research projects. Grasping the nettle and doing things bigger for the long term.

","That we don't grasp the nettle around equality of access to digital connectivity so that the skillsets only belong to the elite.

That we have not acted to enable digital equality.","They need to find ways to accredit informal learning and experience

Lecturers are more likely to need to have a portfolio job .... lecturers / structures need to support more flexible and virtual working

Unions need to understand ways to support this sort of transition
","Open education - we've been trying to develop it but with limited success

Communities of practice have evolved on a small scale - but we need to spread and built on and scale up that work","Focus on the argument that education is a human right and learning technology and technologists are in a position to deliver learning content / opportunities much more widely

The digital divide /  educational access can be breached via learning technology",Equality of Internet access across the board,Technologist,Higher Education
08/09/2011 09:32:07,Will there be specific learning technologies or will it be just be knowledge and information technologies.  Will there be provides specifically for learning technologies or will there be just general providers.  Will we have to pay for knowledge technologies or will they be free.  Will be have lectures in  traditional sense or will environmental concerns restrict our movements.,Increased openness of resources and access to experts - a blurring between education and other areas of life.  More widespread and inclusive use of technologies.  Blurring of social and 'educational' activities a blurring of formal education and learning. ,Teachers don't also embrace the technology - if they don't they won't understand their students.  If teachers don't become with students using technology.,Openness within the institutions - in OUNL we are very industrial with faculty separate from students so little communication.  Less silo and hierarchy would help openness.  Need to break down the boundaries between research and education.,Learning objects promise didn't come to fruition.  General issues around re-using - it is very difficult.,Are the sector bodies capable of making such difficult decisions or should there be more self organising?,"Ever individual to have broadband access for free , anytime and anywhere.","Teacher, Technologist, Researcher",Higher Education
08/09/2011 09:34:05,"Will universities still be relevant in 2025 given the rise of education through other sources, e.g. online?

Will Learning Technologists still be needed given the rise of social media and ubiquity of e-learning tools?

","More tools that are user friendly to teachers on the ground allowing them to apply their teaching without barriers such as complicated authoring software.

Better mobile infrastructure for medical students working out in practice. Better acceptance amongst clinical teachers for the use of mobile technologies. 

Better integration between NHS and university academic and teaching resources.

Better sharing in education community.","People need to think more about the ethical uses of tools such as facebook and twitter, issues such as digital identity, how twitter reflects your professional persona. Confusion between professional and personal.

Disappointed if educational systems were migrated to large corporate systems such as Google and Blackboard. IPR issues. Danger of large corporations having a lot of control over educational material owned by institutions. Concerned about too much being moved into the cloud without thinking about implications of that.

","In larger organisations there needs to be a better understanding between central IT services and the faculties. Better consultation with the faculties on decisions for new technologies to avoid duplicate systems.

Better management structure and fewer processes and committees to get decisions made more quickly.","Second Life - over-hyped.
Learning communities are too eager to jump onto latest fad without digesting how things can be used for teaching.

ePortfolios","Serious review amongst academic staff and students about what's important to them, what they currently do in face to face setting that could be enhanced through the use of learning technology. More consultation with students on what would help them. A lot of decisions are made at management level without consulting the key stakeholders.",Take on more teaching staff to free up time for other staff.,Technologist,Higher Education
08/09/2011 09:42:16,Is there more equality in access? What is the bottom line in what people have.,Being used as a means to educate rather than educating to use it. Focus on the learning not the tech. Using the Internet for the amazing resource that it is and creating good researchers.,Would not like to see a separation between learning technologists students and teachers.  Don't fall out with our stakeholders. ,"Lecturers not led by teaching and learning moving from putting knowledge in the centre to co creating knowledge with students. closer gap between senior management, lecturers and support staff. 

",Not done it long enough to comment.,"Better forum for academics to share good practice across institutions and internationally as well, more embedded in work than a conference.","Across education as a whole in the uk we are bound by tradition and cannot think beyond it. We have always done things this way putting kids through by age nit as relevant as it used it to be, remove schools, start from blank canvas and see what we come up with.","Teacher, Technologist, Researcher",Higher Education
08/09/2011 09:42:44,"Enabling it to support participative learning.
If they could train politicians and vice chancellors to understand learning and technology.
","User owned data.
Enabling collaborative learning
","Learning technology used to drive The national curriculum and high stakes assessment
Internet safety turns into surveillance
Government and institutions continue to own learner data
","Institutions need to become adaptive working across collaborative networks
Need to move form Hierarchical thinking to networked thinking

","Pedagogy, good learning technology design reveals the underlying pedagogy 
Massification it's not about reducing the unit cost of delivery


","We need a shift to open scholarship using technology to support participative and connected pedagogies ubiquitously
LSIS should continue with personal development and training
JISC should co create research into the effectiveness of various learning technologies 
",Create a participative democracy,"Teacher, Technologist, Researcher","Further Education, Higher Education"
08/09/2011 09:45:59,"Will universities still be around in the current state that we know them?

How will the role of the learning technologist change?  Will it still exist?

What are the key issues facing education and learning technology in 2025?","Seemless access to where the education is being provided.
Students don't have to know what tool they are using. More integration between.

More user friendly tools.



","If people go off and do their own thing and use their own systems.  That would increase the support burden. 

If people stopped using technology that would also be concern.","Better communication between central services and the faculties.

More money into central support rather than taking money away.
","We need to look at what's out there more and stop reinventing the wheel.  Duplication of effort through different funding streams.

Some of the tools that are developed need to be promoted more.  Hoe do you maintain these tools after they have been developed

Need for ongoing support for tools.","Should be a review of the best support models for the use of learning technology.  This will vary amongst institutions.

We need to make teaching in HE more of a profession. Could be something the HEA promotes.  Or bring in teaching fellows to do Year 1 & 2 teaching.",More money for education and remove the barriers of tuition fees.,"Technologist, Manager",Higher Education
08/09/2011 09:47:04,"For me it's more the impossibility of predicting the future. It's seductive to think what might be. It's nearly impossible to predict Google, Facebook. These things come about unpredictably.
At the moment, there is more free-to-use software, but the business model is uncertain. I wonder whether all that is sustainable? ","The main thing I hope to see is driving down the cost of the hardware. So that everyone can afford the technology needed.
I am not so happy with the division between formal and informal learning. I would like to see a blurring of learning. Learning is not just something you do at school.","There is a risk of people harvesting data, and using it for purposes for which it was not intended. Unethical use of the data that is everywhere, fx. supermarkets gathering data about customer behaviour, fx. buying sweets.","Different cultures between primary schools and higher education. Parts of the culture of primary school should move up the system. You would want teachers to care about their learners. Care in a more individual, personal sense, not economic care.
There are contractual limitations, too many differences between different 'classes' of employees. Issue of inequality between teaching and admin staff, for example.","When people offer something up as 'THE answer', the promise hardly ever became reality. You need a dose of criticalilty, and a sense of context and situatedness.",I think JISC should spread their money wider and thinner. Lightweight distribution of funding would decrease the risk of failure. It is very hard to pick winners to invest in. There are very many creative people out there who need incentives.,"To give free hardware to everybody, so they can access everything.","Teacher, Researcher",Higher Education
