"Entry","Positive","Strong","Active","Role","Negative","Weak","Passive","Object"
"A",,,,,,,,
"ABANDON",,,,,"Negativ","Weak",,
"ABANDONMENT",,,,,"Negativ","Weak",,
"ABATE",,,,,"Negativ",,"Passive",
"ABATEMENT",,,,,,,,
"ABDICATE",,,,,"Negativ","Weak","Passive",
"ABHOR",,,,,"Negativ",,"Passive",
"ABIDE","Positiv",,"Active",,,,,
"ABILITY","Positiv","Strong",,,,,,
"ABJECT",,,,,"Negativ","Weak","Passive",
"ABLE","Positiv","Strong",,,,,,
"ABNORMAL",,,,,"Negativ",,,
"ABOARD",,,,,,,,
"ABOLISH",,"Strong","Active",,"Negativ",,,
"ABOLITION",,,,,,,,
"ABOMINABLE",,"Strong",,,"Negativ",,,
"ABORTIVE",,,,,,,,
"ABOUND","Positiv",,,,,,"Passive",
"ABOUT#1",,,,,,,,
"ABOUT#2",,,,,,,,
"ABOUT#3",,,,,,,,
"ABOUT#4",,,,,,,,
"ABOUT#5",,,,,,,,
"ABOUT#6",,,,,,,,
"ABOUT#7",,,,,,,,
"ABOVE#1",,,,,,,,
"ABOVE#2",,,,,,,,
"ABOVE#3",,,,,,,,
"ABOVE#4",,,,,,,,
"ABRASIVE",,"Strong",,,"Negativ",,,
"ABROAD",,,,,,,,
"ABRUPT",,,,,"Negativ",,,
"ABSCOND",,,"Active",,"Negativ","Weak",,
"ABSENCE",,,,,"Negativ","Weak",,
"ABSENT#1",,,,,"Negativ","Weak","Passive",
"ABSENT#2",,,,,,,"Passive",
"ABSENT-MINDED",,,,,"Negativ","Weak","Passive",
"ABSENTEE",,,,,"Negativ","Weak",,
"ABSOLUTE#1",,"Strong",,,,,,
"ABSOLUTE#2",,"Strong",,,,,,
"ABSOLVE","Positiv",,"Active",,,,,
"ABSORB#1",,,,,,,,
"ABSORB#2",,,,,,,,
"ABSORBENT","Positiv",,,,,,,
"ABSORPTION","Positiv",,,,,,,
"ABSTAIN",,,,,,,,
"ABSTRACT",,,,,,,,
"ABSTRACTION",,,,,,,,
"ABSURD",,,,,"Negativ",,,
"ABSURDITY",,,,,"Negativ",,,
"ABUNDANCE","Positiv","Strong",,,,,,
"ABUNDANT","Positiv","Strong",,,,,,
"ABUSE#1",,,"Active",,"Negativ",,,
"ABUSE#2",,"Strong","Active",,"Negativ",,,
"ABYSS",,,,,"Negativ",,,
"ABYSSINIA",,,,,,,,
"ACADEMIC",,,,,,,,
"ACADEMY",,,,,,,,
"ACCEDE","Positiv",,"Active",,,,,
"ACCELERATE",,"Strong","Active",,,,,
"ACCELERATION",,"Strong","Active",,,,,
"ACCENTUATE","Positiv",,"Active",,,,,
"ACCEPT","Positiv",,,,,,"Passive",
"ACCEPTABLE","Positiv",,,,,,,
"ACCEPTANCE","Positiv",,,,,,"Passive",
"ACCESS",,,,,,,,
"ACCESSIBLE","Positiv",,,,,,,
"ACCESSION","Positiv","Strong",,,,,,
"ACCIDENT",,,,,"Negativ",,,
"ACCIDENTAL",,,,,,,,
"ACCLAIM","Positiv",,,,,,,
"ACCLAMATION","Positiv",,,,,,,
"ACCOLADE","Positiv",,,,,,,
"ACCOMMODATE","Positiv",,"Active",,,,,
"ACCOMMODATION","Positiv",,,,,,,
"ACCOMPANIMENT","Positiv",,,,,,,
"ACCOMPANY#1",,,"Active",,,,,
"ACCOMPANY#2",,,,,,,,
"ACCOMPLISH","Positiv","Strong","Active",,,,,
"ACCOMPLISHMENT","Positiv","Strong","Active",,,,,
"ACCORD#1",,,,,,,,
"ACCORD#2","Positiv",,,,,,,
"ACCORD#3","Positiv",,,,,,,
"ACCORD#4",,,,,,,,
"ACCORD#5","Positiv",,,,,,,
"ACCORDANCE","Positiv",,,,,,,
"ACCOST",,,"Active",,"Negativ",,,
"ACCOUNT#1",,,,,,,,
"ACCOUNT#2",,,,,,,,
"ACCOUNT#3",,,,,,,,
"ACCOUNT#4",,,,,,,,
"ACCOUNT#5",,,"Active",,,,,
"ACCOUNT#6",,,,,,,,
"ACCOUNT#7",,,,,,,,
"ACCOUNT#8",,,,,,,,
"ACCOUNTABLE","Positiv",,,,,,,
"ACCRUE","Positiv",,"Active",,,,,
"ACCUMULATE",,,"Active",,,,,
"ACCUMULATION",,,"Active",,,,,
"ACCURACY","Positiv",,,,,,,
"ACCURATE","Positiv",,,,,,,
"ACCURATENESS","Positiv",,,,,,,
"ACCURSED",,,,,"Negativ",,,
"ACCUSATION",,,,,"Negativ",,,
"ACCUSE#1",,,,,"Negativ",,,
"ACCUSE#2",,,,,"Negativ",,,
"ACCUSTOM#1",,,,,,,"Passive",
"ACCUSTOM#2",,,,,,,"Passive",
"ACHE",,,,,"Negativ",,"Passive",
"ACHIEVE","Positiv","Strong","Active",,,,,
"ACHIEVEMENT","Positiv",,"Active",,,,,
"ACKNOWLEDGE",,,,,,,,
"ACKNOWLEDGEMENT","Positiv",,,,,,,
"ACKNOWLEDGMENT",,,,,,,,
"ACQUAINT","Positiv",,,,,,,
"ACQUAINTANCE","Positiv",,,"Role",,,,
"ACQUIRE#1",,"Strong","Active",,,,,
"ACQUIRE#2",,"Strong","Active",,,,,
"ACQUISITION",,"Strong","Active",,,,,"Object"
"ACQUIT","Positiv",,,,,,,
"ACQUITTAL","Positiv",,,,,,,
"ACRE",,,,,,,,
"ACRIMONIOUS",,,,,"Negativ",,,
"ACRIMONY",,,,,"Negativ",,"Passive",
"ACROSS#1",,,,,,,,
"ACROSS#2",,,,,,,,
"ACROSS#3",,,,,,,,
"ACROSS#4",,,,,,,,
"ACROSS#5",,,,,,,,
"ACT#1",,"Strong","Active",,,,,
"ACT#2",,"Strong","Active",,,,,
"ACT#3",,"Strong","Active",,,,,
"ACT#4",,,"Active",,,,,
"ACTION",,"Strong","Active",,,,,
"ACTIVE#1",,"Strong","Active",,,,,
"ACTIVE#2",,,"Active",,,,,
"ACTIVITY",,,"Active",,,,,
"ACTOR",,,"Active","Role",,,,
"ACTUAL#1","Positiv",,,,,,,
"ACTUAL#2","Positiv",,,,,,,
"ACTUALITY","Positiv",,,,,,,
"ACUTE",,,,,,,,
"ADAMANT","Positiv","Strong",,,,,,
"ADAPT",,"Strong","Active",,,,,
"ADAPTABILITY","Positiv","Strong",,,,,,
"ADAPTABLE","Positiv","Strong",,,,,,
"ADAPTATION","Positiv","Strong",,,,,,
"ADAPTIVE","Positiv","Strong",,,,,,
"ADD#1",,"Strong",,,,,,
"ADD#2",,,,,,,,
"ADDICT",,,,,"Negativ","Weak",,
"ADDICTION",,,,,"Negativ","Weak",,
"ADDITION#1",,,,,,,,
"ADDITION#2",,"Strong",,,,,,
"ADDITIONAL",,"Strong",,,,,,
"ADDRESS#1",,,"Active",,,,,
"ADDRESS#2",,,"Active",,,,,
"ADDRESS#3",,,"Active",,,,,
